,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
89,Donnie Forman,1949,1949,G,5-10,175,"January 17, 1926",NYU
90,Bayard Forrest,1978,1979,C,6-10,235,"July 8, 1954",Grand Canyon University
91,Trent Forrest,2021,2022,G,6-4,210,"June 12, 1998",Florida State
92,Joseph Forte,2002,2003,G,6-4,194,"March 23, 1981",UNC
93,Courtney Fortson,2012,2012,G,5-11,185,"May 23, 1988",Arkansas
94,Danny Fortson,1998,2007,F,6-7,260,"March 27, 1976",Cincinnati
95,Fred Foster,1969,1977,F,6-5,210,"March 18, 1946",Miami University
96,Greg Foster,1991,2003,F-C,6-11,240,"October 3, 1968","UCLA, Texas-El Paso"
97,Jeff Foster,2000,2012,F-C,6-11,236,"January 16, 1977",Texas State University
98,Jimmy Foster,1975,1976,G,6-1,175,"December 16, 1951",UConn
99,Rod Foster,1984,1986,G,6-1,160,"October 10, 1960",UCLA
100,Antonis Fotsis,2002,2002,F,6-10,219,"April 1, 1981",
101,Evan Fournier,2013,2022,G-F,6-7,205,"October 29, 1992",
102,Larry Foust,1951,1962,C-F,6-9,215,"June 24, 1928",La Salle
103,Calvin Fowler,1970,1970,G,6-0,175,"February 11, 1940",Saint Francis University
104,Jerry Fowler,1952,1952,C,6-8,230,"June 20, 1927",Missouri
105,Tremaine Fowlkes,2002,2005,F,6-8,220,"April 11, 1976","California, Fresno State"
106,De'Aaron Fox,2018,2022,G,6-3,185,"December 20, 1997",Kentucky
107,Harold Fox,1973,1973,G,6-2,175,"August 29, 1949",Jacksonville University
108,Jim Fox,1968,1977,C-F,6-10,230,"April 7, 1943",South Carolina
109,Rick Fox,1992,2004,F-G,6-7,230,"July 24, 1969",UNC
110,Randy Foye,2007,2017,G,6-4,213,"September 24, 1983",Villanova
111,Adonal Foyle,1998,2009,C,6-10,250,"March 9, 1975",Colgate
112,Richie Frahm,2004,2008,G,6-5,210,"August 14, 1977",Gonzaga
113,Steve Francis,2000,2008,G,6-3,195,"February 21, 1977",Maryland
114,Tellis Frank,1988,1994,F-C,6-10,225,"April 26, 1965",Western Kentucky
115,Nat Frankel,1947,1947,F-G,6-0,195,"November 3, 1913",Brooklyn College
116,Jamaal Franklin,2014,2015,G,6-5,191,"July 21, 1991",San Diego State
117,William Franklin,1973,1976,F,6-7,220,"October 19, 1949",Purdue
118,Robert Franks,2021,2021,F,6-7,225,"December 18, 1996",Washington State
119,Ronald Franz,1968,1973,F,6-7,205,"October 20, 1945",Kansas
120,Melvin Frazier,2019,2022,G,6-5,215,"August 30, 1996",Tulane
121,Michael Frazier,2020,2020,G,6-3,200,"March 8, 1994",Florida
122,Tim Frazier,2015,2022,G,6-0,170,"November 1, 1990",Penn State
123,Walt Frazier*,1968,1980,G,6-4,200,"March 29, 1945",Southern Illinois
124,Will Frazier,1966,1969,C-F,6-7,210,"August 24, 1942",Grambling State University
125,Anthony Frederick,1989,1992,F,6-7,205,"December 7, 1964",Pepperdine
126,Jimmer Fredette,2012,2019,G,6-2,195,"February 25, 1989",BYU
127,World B. Free,1976,1988,G,6-2,185,"December 9, 1953",Guilford College
128,Enes Freedom,2012,2022,C,6-10,250,"May 20, 1992",
129,Joel Freeland,2013,2015,F-C,6-10,250,"February 7, 1987",
130,Donnie Freeman,1968,1976,G,6-3,185,"July 18, 1944",Illinois
131,Gary Freeman,1971,1971,F,6-9,210,"July 25, 1948",Oregon State
132,Rod Freeman,1974,1974,F,6-7,225,"November 5, 1950",Vanderbilt
133,Matt Freije,2005,2007,F,6-10,240,"October 2, 1981",Vanderbilt
134,Frido Frey,1947,1947,F,6-2,195,"October 26, 1921",Long Island University
135,Larry Friend,1958,1958,G-F,6-4,185,"April 14, 1935",California
136,Pat Frink,1969,1969,G,6-4,195,"February 18, 1945",Colorado
137,Jim Fritsche,1954,1955,F-C,6-8,210,"December 10, 1931",Hamline University
138,Channing Frye,2006,2019,C-F,7-0,255,"May 17, 1983",Arizona
139,Bernie Fryer,1974,1975,G,6-3,185,"December 25, 1949",BYU
140,Frank Fucarino,1947,1947,F,6-2,175,"July 24, 1920",Long Island University
141,Herm Fuetsch,1948,1948,G,6-0,170,"July 6, 1918",
142,Joe Fulks*,1947,1954,F-C,6-5,190,"October 26, 1921",Murray State
143,Carl Fuller,1971,1972,C,6-9,225,"January 10, 1946",Bethune-Cookman College
144,Hiram Fuller,2004,2004,F,6-9,240,"May 15, 1981",Fresno State
145,Todd Fuller,1997,2001,C,6-11,255,"July 25, 1974",NC State
146,Tony Fuller,1981,1981,G,6-4,180,"September 4, 1958","Vincennes University, Pepperdine"
147,Markelle Fultz,2018,2022,G,6-3,209,"May 29, 1998",Washington
148,Lawrence Funderburke,1998,2005,F,6-9,230,"December 15, 1970","Indiana, Ohio State"
149,Terry Furlow,1977,1980,G-F,6-4,190,"October 18, 1954",Michigan State
0,Bill Gabor,1950,1955,G-F,5-11,170,"May 13, 1922",Syracuse
1,Wenyen Gabriel,2020,2022,F,6-9,205,"March 26, 1997",Kentucky
2,Dan Gadzuric,2003,2012,C,6-11,240,"February 2, 1978",UCLA
3,Daniel Gafford,2020,2022,F,6-10,234,"October 1, 1998",Arkansas
4,Deng Gai,2006,2006,F,6-9,250,"March 22, 1982",Fairfield
5,Elmer Gainer,1948,1950,F-C,6-6,195,"November 22, 1918",DePaul
6,Bill Gaines,1969,1969,G,6-4,185,"March 10, 1946",Texas A&M University-Commerce
7,Corey Gaines,1989,1995,G,6-3,195,"June 1, 1965","UCLA, Loyola Marymount"
8,Reece Gaines,2004,2006,G,6-6,205,"January 7, 1981",Louisville
9,Smokey Gaines,1968,1968,G,6-1,170,"February 27, 1940",LeMoyne-Owen College
10,Sundiata Gaines,2010,2012,G,6-1,185,"April 18, 1986",Georgia
11,Mike Gale,1972,1982,G,6-4,185,"July 18, 1950",Elizabeth City State University
12,Chad Gallagher,1994,1994,C,6-10,255,"May 30, 1969",Creighton
13,Harry Gallatin*,1949,1958,F-C,6-6,210,"April 26, 1927",Truman State University
14,Gene Gallette,1947,1947,F,6-2,205,"February 22, 1919",
15,Danilo Gallinari,2009,2022,F,6-10,233,"August 8, 1988",
16,Langston Galloway,2015,2022,G,6-1,200,"December 9, 1991",Saint Joseph's
17,Dave Gambee,1959,1970,F,6-6,215,"April 16, 1937",Oregon State
18,Kevin Gamble,1988,1997,F-G,6-5,210,"November 13, 1965",Iowa
19,Bob Gantt,1947,1947,F-C,6-4,205,"June 22, 1922",Duke
20,Jorge Garbajosa,2007,2008,F,6-9,245,"December 19, 1977",
21,Rubén Garcés,2001,2001,F,6-9,245,"October 17, 1973",Providence
22,Alex Garcia,2004,2005,G,6-3,220,"March 4, 1980",
23,Francisco García,2006,2015,F-G,6-7,195,"December 31, 1981",Louisville
24,Chuck Gardner,1968,1968,F,6-8,205,"September 30, 1944",Colorado
25,Earl Gardner,1949,1949,F,6-3,195,"September 18, 1923",DePauw University
26,Kenneth Gardner,1976,1976,F,6-5,205,"September 27, 1949",Utah
27,Thomas Gardner,2008,2009,G,6-5,225,"February 8, 1985",Missouri
28,Vern Gardner,1950,1952,F-C,6-5,200,"May 14, 1925",Utah
29,Jack Garfinkel,1947,1949,G,6-0,190,"June 13, 1918",St. John's
30,Patricio Garino,2017,2017,G-F,6-6,210,"May 17, 1993",George Washington
31,Darius Garland,2020,2022,G,6-1,192,"January 26, 2000",Vanderbilt
32,Gary Garland,1980,1980,G,6-4,180,"October 12, 1957",DePaul
33,Winston Garland,1988,1995,G,6-2,170,"December 19, 1964",Missouri State
34,Dick Garmaker,1956,1961,G-F,6-3,200,"October 29, 1932",Minnesota
35,Bill Garner,1968,1968,C,6-10,220,"June 17, 1940",University of Portland
36,Chris Garner,1998,2001,G,5-10,156,"February 2, 1975",Memphis
37,Bill Garnett,1983,1986,F,6-9,225,"April 22, 1960",Wyoming
38,Kevin Garnett*,1996,2016,F-C,6-11,240,"May 19, 1976",
39,Marlon Garnett,1999,1999,G,6-2,186,"July 3, 1975",Santa Clara
40,Billy Garrett,2019,2019,G,6-6,213,"October 16, 1994",DePaul
41,Calvin Garrett,1981,1984,F,6-7,190,"July 11, 1956","Austin Peay State University, Oral Roberts"
42,Dean Garrett,1997,2002,C,6-10,225,"November 27, 1966",Indiana
43,Diante Garrett,2013,2014,G,6-4,190,"November 3, 1988",Iowa State
44,Dick Garrett,1970,1974,G,6-3,185,"January 31, 1947",Southern Illinois
45,Marcus Garrett,2022,2022,G,6-5,205,"November 9, 1998",Kansas
46,Rowland Garrett,1973,1977,F,6-6,210,"July 16, 1950",Florida State
47,Tom Garrick,1989,1992,G,6-2,185,"July 7, 1966",Rhode Island
48,John Garris,1984,1984,F,6-8,205,"June 6, 1959","Michigan, Boston College"
49,Kiwane Lemorris Garris,1998,2000,G,6-2,183,"September 24, 1974",Illinois
50,Pat Garrity,1999,2008,F,6-9,238,"August 23, 1976",Notre Dame
51,Usman Garuba,2022,2022,F,6-8,220,"March 9, 2002",
52,Jim Garvin,1974,1974,F,6-7,200,"February 5, 1950",Boston University
53,Luka Garza,2022,2022,F-C,6-11,235,"December 27, 1998",Iowa
54,Marc Gasol,2009,2021,C,6-11,255,"January 29, 1985",
55,Pau Gasol,2002,2019,C-F,7-0,250,"July 6, 1980",
56,Frank Gates,1950,1950,G,6-0,160,"April 12, 1920",Sam Houston State University
57,Chris Gatling,1992,2002,F-C,6-10,220,"September 3, 1967",Old Dominion
58,Kenny Gattison,1987,1996,F-C,6-8,225,"May 23, 1964",Old Dominion
59,Rudy Gay,2007,2022,F,6-8,250,"August 17, 1986",UConn
60,Ed Gayda,1951,1951,G-F,6-4,210,"May 16, 1927",Washington State
61,Andrew Gaze,1994,1999,G,6-7,205,"July 24, 1965",Seton Hall
62,Michael Gbinije,2017,2017,G,6-7,200,"June 5, 1992","Duke, Syracuse"
63,Reggie Geary,1997,1998,G,6-2,187,"August 31, 1973",Arizona
64,Alonzo Gee,2010,2017,G,6-6,225,"May 29, 1987",Alabama
65,Matt Geiger,1993,2002,C,7-0,243,"September 10, 1969","Auburn, Georgia Tech"
66,Mickaël Gelabale,2007,2013,F,6-7,215,"May 22, 1983",
67,Devean George,2000,2010,G-F,6-8,220,"August 29, 1977",Augsburg College
68,Jack George,1954,1961,G,6-2,190,"November 13, 1928",La Salle
69,Paul George,2011,2022,F,6-8,220,"May 2, 1990",Fresno State
70,Tate George,1991,1995,G,6-5,190,"May 29, 1968",UConn
71,Marcus Georges-Hunt,2017,2018,G,6-5,216,"March 28, 1994",Georgia Tech
72,Gus Gerard,1975,1981,F-G,6-8,200,"July 27, 1953",Virginia
73,Derrick Gervin,1990,1991,F,6-8,200,"March 28, 1963",Texas-San Antonio
74,George Gervin*,1973,1986,G-F,6-7,180,"April 27, 1952",Eastern Michigan
75,Gorham Getchell,1947,1947,C,6-4,205,"August 14, 1920",Temple
76,John Gianelli,1973,1980,C-F,6-10,220,"June 10, 1950",University of the Pacific
77,Dick Gibbs,1972,1976,F-G,6-5,210,"December 20, 1948",Texas-El Paso
78,Daniel Gibson,2007,2013,G,6-2,190,"February 27, 1986",Texas
79,Dee Gibson,1950,1950,F-G,5-11,175,"August 25, 1923",Western Kentucky
80,Hoot Gibson,1950,1950,F-C,6-5,198,"December 5, 1921",Creighton
81,Jonathan Gibson,2017,2018,G,6-2,185,"November 8, 1987",New Mexico State
82,Mel Gibson,1964,1964,G,6-3,180,"December 30, 1940",Western Carolina University
83,Mike Gibson,1984,1986,F,6-10,205,"October 27, 1960",USC Upstate
84,Taj Gibson,2010,2022,F,6-9,232,"June 24, 1985",USC
85,J.R. Giddens,2009,2010,G,6-5,215,"February 13, 1985","Kansas, New Mexico"
86,Josh Giddey,2022,2022,G,6-8,210,"October 10, 2002",
87,Trey Gilder,2010,2010,F,6-9,185,"January 24, 1985","McNeese State University, Northwestern State University"
88,Harry Giles,2019,2021,F-C,6-11,240,"April 22, 1998",Duke
89,Shai Gilgeous-Alexander,2019,2022,G,6-6,180,"July 12, 1998",Kentucky
90,Anthony Gill,2021,2022,F,6-7,230,"October 17, 1992","South Carolina, Virginia"
91,Eddie Gill,2001,2009,G,6-0,190,"August 16, 1978",Weber State
92,Kendall Gill,1991,2005,G,6-5,195,"May 25, 1968",Illinois
93,Ben Gillery,1989,1989,C,7-0,235,"September 19, 1965",Georgetown
94,Freddie Gillespie,2021,2022,F,6-9,245,"June 14, 1997","Carleton College, Baylor"
95,Jack Gillespie,1970,1970,F,6-6,215,"October 1, 1947",Montana State
96,Armen Gilliam,1988,2000,F-C,6-9,230,"May 28, 1964",UNLV
97,Herm Gilliam,1970,1977,G-F,6-3,190,"May 5, 1946",Purdue
98,Artis Gilmore*,1972,1988,C,7-2,240,"September 21, 1949","Gardner-Webb University, Jacksonville University"
99,Walt Gilmore,1971,1971,F,6-6,225,"February 27, 1947",Fort Valley State University
100,Chuck Gilmur,1947,1951,F-C,6-4,225,"August 13, 1922",Washington
101,Manu Ginóbili*,2003,2018,G,6-6,205,"July 28, 1977",
102,Gordan Giriček,2003,2008,G-F,6-6,210,"June 20, 1977",
103,Jack Givens,1979,1980,F-G,6-5,205,"September 21, 1956",Kentucky
104,Mickell Gladness,2012,2012,C,6-11,220,"July 26, 1986",Alabama A&M University
105,George Glamack,1949,1949,C-F,6-6,225,"June 7, 1918",UNC
106,Gerald Glass,1991,1996,G-F,6-5,221,"November 12, 1967","Delta State University, Ole Miss"
107,Mike Glenn,1978,1987,G,6-2,175,"September 10, 1955",Southern Illinois
108,Normie Glick,1950,1950,F,6-7,190,"November 10, 1927",Loyola Marymount
109,Georgi Glouchkov,1986,1986,F,6-8,235,"January 10, 1960",
110,Clarence Glover,1972,1972,F,6-8,210,"November 1, 1947",Western Kentucky
111,Dion Glover,2000,2005,G,6-5,228,"October 22, 1978",Georgia Tech
112,Andreas Glyniadakis,2007,2007,C,7-1,280,"August 21, 1981",
113,Mike Gminski,1981,1994,C,6-11,250,"August 3, 1959",Duke
114,Rudy Gobert,2014,2022,C,7-1,258,"June 26, 1992",
115,Dan Godfread,1991,1992,C,6-10,250,"June 14, 1967",University of Evansville
116,Tom Gola*,1956,1966,G-F,6-6,205,"January 13, 1933",La Salle
117,Ben Goldfaden,1947,1947,F,6-1,185,"September 6, 1913",George Washington
118,Anthony Goldwire,1996,2006,G,6-1,182,"September 6, 1971",Houston
119,Ryan Gomes,2006,2014,F,6-7,250,"September 1, 1982",Providence
120,Glen Gondrezick,1978,1983,F-G,6-6,218,"August 30, 1955",UNLV
121,Grant Gondrezick,1987,1989,G,6-5,205,"January 19, 1963",Pepperdine
122,Drew Gooden,2003,2016,F,6-10,250,"September 24, 1981",Kansas
123,Gail Goodrich*,1966,1979,G,6-1,170,"April 23, 1943",UCLA
124,Steve Goodrich,2001,2002,F,6-10,220,"March 18, 1976",Princeton
125,Archie Goodwin,2014,2017,G,6-5,200,"August 17, 1994",Kentucky
126,Brandon Goodwin,2019,2022,G,6-0,180,"October 2, 1995","Central Florida, Florida Gulf Coast"
127,Jordan Goodwin,2022,2022,G,6-3,200,"October 23, 1998",Saint Louis
128,Pop Goodwin,1947,1948,F-C,6-2,203,"December 22, 1920",
129,Aaron Gordon,2015,2022,F,6-8,235,"September 16, 1995",Arizona
130,Ben Gordon,2005,2015,G,6-3,200,"April 4, 1983",UConn
131,Drew Gordon,2015,2015,F,6-9,245,"July 12, 1990","UCLA, New Mexico"
132,Eric Gordon,2009,2022,G-F,6-3,215,"December 25, 1988",Indiana
133,Lancaster Gordon,1985,1988,G,6-3,185,"June 24, 1962",Louisville
134,Paul Gordon,1950,1950,F,6-3,185,"April 8, 1927",Notre Dame
135,Marcin Gortat,2008,2019,C-F,6-11,240,"February 17, 1984",
136,Leo Gottlieb,1947,1948,G,5-11,180,"November 28, 1920",
137,Andrew Goudelock,2012,2016,G,6-3,200,"December 7, 1988",College of Charleston
138,Gerald Govan,1968,1976,F-C,6-10,220,"January 2, 1942",Saint Mary of the Plains College
139,Bato Govedarica,1954,1954,G,5-11,185,"April 17, 1928",DePaul
140,Joe Graboski,1949,1962,F-C,6-7,195,"January 15, 1930",
141,Ricky Grace,1994,1994,G,6-1,180,"August 20, 1967","Midland College, Oklahoma"
142,Calvin Graham,1968,1968,G,6-2,195,"June 7, 1944",Gannon University
143,Devonte' Graham,2019,2022,G,6-1,195,"February 22, 1995",Kansas
144,Greg Graham,1994,1998,G,6-4,174,"November 26, 1970",Indiana
145,Joey Graham,2006,2011,F,6-7,225,"June 11, 1982","Central Florida, Oklahoma State"
146,Mal Graham,1968,1969,G,6-1,185,"February 23, 1945",NYU
147,Orlando Graham,1989,1989,F,6-8,220,"May 5, 1965","West Texas A&M University, Auburn University at Montgomery"
148,Paul Graham,1992,1994,F-G,6-6,200,"November 28, 1967",Ohio University
149,Stephen Graham,2006,2011,G,6-6,215,"June 11, 1982","Central Florida, Oklahoma State"
150,Treveon Graham,2017,2020,G,6-5,219,"October 28, 1993",VCU
151,Jim Grandholm,1991,1991,F-C,7-0,235,"October 4, 1960","Florida, South Florida"
152,Ron Grandison,1989,1996,F,6-6,215,"July 9, 1964","University of California, Irvine, New Orleans"
153,Danny Granger,2006,2015,F,6-9,222,"April 20, 1983","Bradley, New Mexico"
154,Stewart Granger,1984,1987,G,6-3,190,"October 27, 1961",Villanova
155,Brian Grant,1995,2006,F,6-9,254,"March 5, 1972",Xavier
156,Bud Grant,1950,1951,F,6-3,195,"May 20, 1927",Minnesota
157,Gary Grant,1989,2001,G,6-3,185,"April 21, 1965",Michigan
158,Greg Grant,1990,1996,G,5-7,140,"August 29, 1966",Trenton State University
159,Harvey Grant,1989,1999,F,6-8,195,"July 4, 1965","Clemson, Oklahoma"
160,Horace Grant,1988,2004,F-C,6-10,215,"July 4, 1965",Clemson
161,Jerami Grant,2015,2022,F,6-8,210,"March 12, 1994",Syracuse
162,Jerian Grant,2016,2020,G,6-4,205,"October 9, 1992",Notre Dame
163,Josh Grant,1994,1994,F,6-9,223,"August 7, 1967",Utah
164,Paul Grant,1999,2004,C,7-0,245,"January 6, 1974","Boston College, Wisconsin"
165,Travis Grant,1973,1976,F,6-7,215,"January 1, 1950",Kentucky State University
166,Donte Grantham,2019,2019,F,6-8,215,"March 19, 1995",Clemson
167,Don Grate,1950,1950,F-G,6-2,185,"August 27, 1923",Ohio State
168,Butch Graves,1985,1985,G,6-3,200,"January 5, 1962",Yale
169,Hassani Gravett,2022,2022,G,6-2,188,"July 16, 1996","Pensacola State, South Carolina"
170,Aaron Gray,2008,2014,C,7-0,270,"December 7, 1984",Pitt
171,Devin Gray,1997,2000,F,6-7,240,"May 31, 1972",Clemson
172,Ed Gray,1998,1999,G,6-3,210,"September 27, 1975","Tennessee, California"
173,Evric Gray,1997,1997,F,6-7,235,"December 13, 1969",UNLV
174,Gary Gray,1968,1968,G,6-1,185,"February 23, 1945",Oklahoma City University
175,Josh Gray,2018,2020,G,6-0,180,"September 9, 1993",LSU
176,Leonard Gray,1975,1977,F,6-8,240,"December 19, 1951",Cal State Long Beach
177,Stuart Gray,1985,1991,C-F,7-0,235,"May 27, 1963",UCLA
178,Sylvester Gray,1989,1989,F,6-6,230,"July 8, 1967",Memphis
179,Wyndol Gray,1947,1948,G-F,6-1,175,"March 20, 1922",Harvard University
180,Jeff Grayer,1989,1998,F-G,6-5,200,"December 17, 1965",Iowa State
181,Bob Greacen,1970,1972,F,6-7,206,"September 15, 1947",Rutgers University
182,A.C. Green,1986,2001,F-C,6-9,220,"October 4, 1963",Oregon State
183,Danny Green,2010,2022,G-F,6-6,215,"June 22, 1987",UNC
184,Devin Green,2006,2006,G,6-7,210,"October 25, 1982",Hampton
185,Draymond Green,2013,2022,F,6-6,230,"March 4, 1990",Michigan State
186,Erick Green,2015,2016,G,6-4,185,"May 9, 1991",Virginia Tech
187,Gerald Green,2006,2019,G-F,6-6,205,"January 26, 1986",
188,Jalen Green,2022,2022,G,6-4,178,"February 9, 2002",
189,JaMychal Green,2015,2022,F,6-8,227,"June 21, 1990",Alabama
190,Javonte Green,2020,2022,F,6-4,205,"July 23, 1993",Radford
191,Jeff Green,2008,2022,F,6-8,235,"August 28, 1986",Georgetown
192,Johnny Green,1960,1973,F-C,6-5,200,"December 8, 1933",Michigan State
193,Josh Green,2021,2022,G-F,6-5,200,"November 16, 2000",Arizona
194,Ken Green,1986,1986,F,6-8,215,"September 19, 1959",University of Texas Rio Grande Valley
195,Kenny Green,1986,1987,F,6-6,210,"October 11, 1964",Wake Forest
196,Lamar Green,1970,1975,F-C,6-7,210,"March 22, 1947",Morehead State University
197,Litterial Green,1993,1999,G,6-1,185,"March 7, 1970",Georgia
198,Luther Green,1970,1973,F,6-7,190,"November 13, 1946",Long Island University
199,Mike Green,1974,1980,C-F,6-10,200,"August 6, 1951",Louisiana Tech
200,Rickey Green,1978,1992,G,6-0,170,"August 18, 1954","Vincennes University, Michigan"
201,Sean Green,1992,1994,G-F,6-5,210,"February 2, 1970","NC State, Iona College"
202,Si Green,1957,1966,G-F,6-2,185,"August 20, 1933",Duquesne
203,Sidney Green,1984,1993,F-C,6-9,220,"January 4, 1961",UNLV
204,Steve Green,1976,1979,F,6-7,220,"October 4, 1953",Indiana
205,Taurean Green,2008,2008,G,6-0,177,"November 28, 1986",Florida
206,Tommie Green,1979,1979,G,6-2,185,"April 8, 1956",Southern University and A&M College
207,Willie Green,2004,2015,G,6-4,200,"July 28, 1981",Detroit Mercy
208,Donté Greene,2009,2012,F,6-11,226,"February 21, 1988",Syracuse
209,Orien Greene,2006,2011,G,6-4,208,"February 4, 1982","Florida, Louisiana"
210,Jerry Greenspan,1964,1965,F,6-5,195,"November 22, 1941",Maryland
211,Dave Greenwood,1980,1991,F-C,6-9,222,"May 27, 1957",UCLA
212,Hal Greer*,1959,1973,G-F,6-2,175,"June 26, 1936",Marshall
213,Lynn Greer,2007,2007,G,6-2,175,"October 23, 1979",Temple
214,Gary Gregor,1969,1974,F-C,6-7,225,"August 13, 1945",South Carolina
215,Claude Gregory,1986,1988,F,6-8,205,"December 26, 1958",Wisconsin
216,John Greig,1983,1983,F,6-7,215,"April 28, 1961",Oregon
217,Norm Grekin,1954,1954,F,6-5,180,"June 22, 1930",La Salle
218,Kevin Grevey,1976,1985,G-F,6-5,210,"May 12, 1953",Kentucky
219,Dennis Grey,1969,1970,C-F,6-8,215,"August 26, 1947",California Western Uiversity
220,Adrian Griffin,2000,2008,G-F,6-5,217,"July 4, 1974",Seton Hall
221,Blake Griffin,2011,2022,F,6-9,250,"March 16, 1989",Oklahoma
222,Eddie Griffin,2002,2007,F-C,6-10,220,"May 30, 1982",Seton Hall
223,Greg Griffin,1978,1978,F,6-7,190,"September 6, 1952",Idaho State University
224,Paul Griffin,1977,1983,F-C,6-9,205,"January 20, 1954",Western Michigan
225,Taylor Griffin,2010,2010,F,6-7,238,"April 18, 1986",Oklahoma
226,Darrell Griffith,1981,1991,G,6-4,190,"June 16, 1958",Louisville
227,Chuck Grigsby,1955,1955,G,6-5,190,"August 15, 1928",Dayton
228,Quentin Grimes,2022,2022,G,6-5,205,"May 8, 2000","Kansas, Houston"
229,Derek Grimm,1998,1998,F,6-9,230,"August 3, 1974",Missouri
230,Woody Grimshaw,1947,1947,G,6-1,185,"September 24, 1919",Brown University
231,Dick Groat,1953,1953,G,5-11,180,"November 4, 1930",Duke
232,Bob Gross,1976,1983,F-G,6-6,200,"August 3, 1953","Seattle University, Cal State Long Beach"
233,Mike Grosso,1972,1972,C,6-9,230,"September 7, 1947",Louisville
234,Jerry Grote,1965,1965,G,6-4,215,"December 28, 1940",Loyola Marymount
235,Alex Groza,1950,1951,C,6-7,218,"October 7, 1926",Kentucky
236,Dick Grubar,1970,1970,G,6-4,184,"July 26, 1947",UNC
237,Anthony Grundy,2006,2006,G,6-3,180,"April 15, 1979",NC State
238,Ernie Grunfeld,1978,1986,G-F,6-6,210,"April 24, 1955",Tennessee
239,Gene Guarilia,1960,1963,F,6-5,220,"September 13, 1937",George Washington
240,Pétur Guðmundsson,1982,1989,C,7-2,260,"October 30, 1958",Washington
241,Marko Guduric,2020,2020,G,6-6,201,"March 8, 1995",
242,Richie Guerin*,1957,1970,G,6-4,195,"May 29, 1932",Iona College
243,Tom Gugliotta,1993,2005,F,6-10,240,"December 19, 1969",NC State
244,Andrés Guibert,1994,1995,F-C,6-10,225,"October 28, 1968",
245,Jay Guidinger,1993,1994,C,6-10,255,"August 18, 1969",University of Minnesota Duluth
246,Coulby Gunther,1947,1949,F,6-4,190,"February 5, 1923",Boston College
247,Dave Gunther,1963,1963,F,6-7,190,"July 22, 1937",Iowa
248,Al Guokas,1950,1950,F-G,6-5,200,"August 7, 1925",Saint Joseph's
249,Matt Guokas,1947,1947,F,6-3,195,"November 11, 1915",Saint Joseph's
250,Matt Guokas,1967,1976,G-F,6-5,175,"February 25, 1944",Saint Joseph's
251,Jorge Gutiérrez,2014,2016,G,6-3,191,"December 27, 1988",California
252,Kyle Guy,2020,2022,G,6-1,167,"August 11, 1997",Virginia
253,A.J. Guyton,2001,2003,G,6-1,180,"February 12, 1978",Indiana
0,Rui Hachimura,2020,2022,F,6-8,230,"February 8, 1998",Gonzaga
1,Rudy Hackett,1976,1977,F,6-9,210,"May 10, 1953",Syracuse
2,Hamed Haddadi,2009,2013,C,7-2,254,"May 19, 1985",
3,Jim Hadnot,1968,1968,C-F,6-10,235,"January 15, 1940",Providence
4,Scott Haffner,1990,1991,G,6-3,180,"February 2, 1966","Illinois, University of Evansville"
5,Cliff Hagan*,1957,1970,F-G,6-4,210,"December 9, 1931",Kentucky
6,Glenn Hagan,1982,1982,G,6-0,170,"June 25, 1955",St. Bonaventure
7,Tom Hagan,1970,1971,G,6-3,185,"January 29, 1947",Vanderbilt
8,Ashton Hagans,2021,2021,G,6-3,190,"July 8, 1999",Kentucky
9,Robert Hahn,1950,1950,C,6-10,240,"August 25, 1925",NC State
10,Al Hairston,1969,1970,G,6-1,170,"December 11, 1945",Bowling Green
11,Happy Hairston,1965,1975,F,6-7,225,"May 31, 1942",NYU
12,Lindsay Hairston,1976,1976,F-C,6-7,180,"December 8, 1951",Michigan State
13,Malik Hairston,2009,2010,G,6-6,220,"February 23, 1987",Oregon
14,P.J. Hairston,2015,2016,G-F,6-6,230,"December 24, 1992",UNC
15,Marcus Haislip,2003,2010,F,6-10,230,"December 22, 1980",Tennessee
16,Chick Halbert,1947,1951,C,6-9,225,"February 27, 1919",West Texas A&M University
17,Swede Halbrook,1961,1962,C,7-3,235,"January 30, 1933",Oregon State
18,Bruce Hale,1949,1951,G-F,6-1,170,"August 30, 1918",Santa Clara
19,Hal Hale,1968,1968,G,6-1,180,"September 21, 1945",Utah State University
20,Jack Haley,1989,1998,C-F,6-10,240,"January 27, 1964",UCLA
21,Tyrese Haliburton,2021,2022,G,6-5,185,"February 29, 2000",Iowa State
22,Shaler Halimon,1969,1973,G-F,6-5,199,"March 30, 1945",Utah State University
23,Devon Hall,2020,2020,G,6-2,215,"July 7, 1995",Virginia
24,Donta Hall,2020,2021,F,6-9,232,"August 7, 1997",Alabama
25,Josh Hall,2021,2021,F,6-9,190,"October 8, 2000",
26,Mike Hall,2007,2007,F,6-8,230,"June 5, 1984",George Washington
27,Tyler Hall,2022,2022,G,6-5,209,"March 25, 1997",Montana State
28,Jeff Halliburton,1972,1973,G,6-5,193,"July 3, 1949",Drake University
29,Darvin Ham,1997,2005,F,6-7,220,"July 23, 1973",Texas Tech
30,Steve Hamer,1997,1997,C,7-0,245,"November 13, 1973",Tennessee
31,Dale Hamilton,1950,1950,G-F,6-0,180,"August 16, 1919",Franklin College
32,Daniel Hamilton,2018,2019,G-F,6-7,195,"August 8, 1995",UConn
